image,label
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_0_z2.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_0_z2.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_0_z3.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_0_z3.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_0_z4.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_0_z4.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_0_z5.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_0_z5.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_0_z7.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_0_z7.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_9_z2.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_9_z2.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_9_z3.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_9_z3.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_9_z4.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_9_z4.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_9_z5.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_9_z5.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_9_z6.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_9_z6.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1D0Q7_9_z7.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1D0Q7_9_z7.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_10_z1.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_10_z1.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_10_z2.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_10_z2.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_10_z3.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_10_z3.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_10_z7.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_10_z7.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_23_z1.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_23_z1.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_23_z2.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_23_z2.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_23_z8.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_23_z8.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A1O8Z3_23_z9.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A1O8Z3_23_z9.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_29_z1.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_29_z1.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_29_z3.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_29_z3.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_29_z5.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_29_z5.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_29_z6.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_29_z6.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_29_z7.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_29_z7.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_29_z8.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_29_z8.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_29_z9.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_29_z9.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_8_z2.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_8_z2.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_8_z3.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_8_z3.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_8_z4.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_8_z4.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_8_z5.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_8_z5.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/image/A2H5K9_8_z6.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/B/label/A2H5K9_8_z6.nii.gz
