image,label
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z10.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z10.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z11.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z11.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z4.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z4.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z5.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z5.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z6.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z6.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z7.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z7.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z8.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z8.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_11_z9.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_11_z9.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_33_z10.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_33_z10.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_33_z11.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_33_z11.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/image/A1K2P5_33_z3.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/mms2d/D/label/A1K2P5_33_z3.nii.gz
